PetID,Description,AdoptionSpeed
8df0bb3b3,"Mochi, momo and Molly are siblings, about 3 months old, black and white patches cute little babies, they are toilet trained potty on newspapers. Mochi was found in the bushes on 14/4/14 Sunday morning, siblings reunion with momo and Molly on 23/4/14 morning. They are healthy, playful and love human companion very much, Mochi has received the 1st vaccination on 16/4/14 wed and dewormed, momo and Molly will be receiving theirs next week. Interested adopter can adopt anyone of them or all of them, please call or what's app fosterer . Before you decided to take them as a new family member please go through the terms and conditions for adoption : 1) must agree on neutering when they reach 6th month old. 2) no adoption fees needed, however an amount of rm will be collected to keep aside for neutering fees in future. 3) provide sufficient space to run around, no caging and tying up in the house whole area and allow indoor. 4) allow home visit from foster/rescuer to visit until they are comfortable living with adopter in new environment, it should be arranged at least once a month. 5) able to provide basic medical treatments when they fall sick as well as complete the initial 3 vaccinations follow by yearly vaccination. 6) other members in the family must be informed and agree for this adoption.",3
a05e81f9f,"hi i am a student . lately i have some trouble in terms of financial and space to accomodate the cats. These are 4 healthy playful kittens i have. if it were not due to this problem , i will take care of them forever. I really hope somebody caring and loving enough can adopt them . thanks",4
311479c63,healthy,1
11aa441fe,Lovely puppy looking for a home sweet home. If are intetested to adopt pls contact Rachel,3
25fc96414,"Chamelia is a playful, doting puppy looking for a place call home. She and her sisters, Tea and Ocha, were abandoned at a vet last year. They love visitors and the chance to come out to play and stretch their legs. Neutering and vaccination cost will be covered. No tying up or caging for long hours. Please give them a loving home.",3
a6783a1c6,Rescued this kitten near Cheras Perdana. Call me Kelly if you're interested to adopt.,4
05aaee8ce,"This lovely cat belong to my friend. She ask me to sell her cats because she's going for overseas for years to further her studies. Nobody going to take care of her. Miro is very friendly, playful and cheerful. Pls if anyone want her..pls take the mother (Kiki) too.",1
1d3dd0cb8,Adopt from homeless place. Now cat are healthy and ready for adoption,4
f20fa5c38,"Dear all ,we just found this pup in off area & there's no mama dog around,we believe it must been abandoned by someone ... we hope to find her a sweet home .. Please contact me if u are interested to adopt this little angel :)",2
b8bc0c25c,Female twins rescued nearby my apartment. They're very attached together and is looking for an owner who would provide them a shelter together. :),4
8f45b9967,read about this kitten at,1
b7f7e01c6,Nile is playful & independent,3
f41a7de83,"Remember my friend – ADOPT, DON’T BUY! Keep in mind that a pet is a LIFETIME commitment. 杜绝繁殖，领养，不购买! 谨记，宠物是一辈子的责任，领养不弃养。 - - - - - - - - - - - - - - - - - - - - This cute Doggie is a homeless dog at Puchong, Selangor and taken care of by a kind rescuer. Please direct contact the rescuer at the number below if you're able to give her a home. Please give her a chance tq. Madge Yong 杨韵姗 可爱的浪浪狗狗在蒲種, 雪兰莪被爱心姐姐照顾着，可以给他一个好家的朋友，请直接联系以上号码，给他一个机会，感恩 - - - - - - - - - - - - - - - - - - - - Interested to adopt? Kindly read our requirements: - Strictly NO tying/caging for long period - Agree to bring her for yearly vaccination - Provide balanced meals and fresh water all the time - Allow for home visit - Love and treat her like your own precious family members 想领养的朋友请确保能履行基本的主人责任: - 不能长时间关 / 绑狗狗，他们需要基本的自由 - 必须同意为他注射例行预防针 - 提供营养均衡的饮食和干净食水 - 同意义工们上门探访 - 把他视为家人，好好的用爱对待他 Please give her a home.",4
e7e2eca9e,very loving kitten and loves to eat :D,4
f2f8667a2,"Hello, this is Vanilla, she is a pup of my pet dog. we gave her to her current owner since she was three months old. Unfortunately, now the owner can no longer take care of her due to family issue. So we need to find her another owner. She is loving, cute and active. Please take her in if you consider to breed a dog as she can be good companion and gate watcher. Vanilla is in need a permanent home, if anyone interested please let me know on.",2
54b687d7c,"Very mischievous kitten, playful healthy and cute",2
6438c6b3f,"Hello, Halo, HI HI, Hatrick are firsky puppies that will enlighten you days!",4
831505752,"Adorable and Playful Kitten for adoption, she needs LOVEssssss. If you are interested, please feel free to contact me.",2
106128c56,Rozy is sociable and playful with her own kind. Initially shy with ppl but will warm up. If prepared to.give her a permanent home with love and care pls whatsapp or call Jocelyn at.,3
c8f5f9120,"Rejected by a his own breeder who wanted him euthanised because he seems to have slight neurological problems, ie. he falls easily. Vet fostering him now, and after having put him on Neurobion (half tablet a day), he seems to be ok.",1
671ffc570,"Jack is a Jack Russell crossed. He is very friendly, active, playful, and joyful. He has four short legs and a stubby tail.Still it will wags vigourously atwhat delights him.You should see how he & his age gang troop around our garden & terrace.",3
279ca5034,Jamie is a very nice dog. She is very obedient and gentle.,3
f653550ac,"Remember my friend – ADOPT, DON’T BUY! Keep in mind that a pet is a LIFETIME commitment. 杜绝繁殖，领养，不购买! 谨记，宠物是一辈子的责任，领养不弃养。 - - - - - - - - - - - - - - - - - - - - This cute Doggie is a homeless dog at Puchong, Selangor and taken care of by a kind rescuer. Please direct contact the rescuer at the number below if you're able to give him a home. Please give him a chance tq. Madge Yong 杨韵姗 可爱的浪浪狗狗在蒲種, 雪兰莪被爱心姐姐照顾着，可以给他一个好家的朋友，请直接联系以上号码，给他一个机会，感恩 - - - - - - - - - - - - - - - - - - - - Interested to adopt? Kindly read our requirements: - Strictly NO tying/caging for long period - Must agree to neuter and bring him for yearly vaccination - Provide balanced meals and fresh water all the time - Allow for home visit - Love and treat him like your own precious family members 想领养的朋友请确保能履行基本的主人责任: - 不能长时间关 / 绑狗狗，他们需要基本的自由 - 必须同意结扎 和每年为他注射例行预防针 - 提供营养均衡的饮食和干净食水 - 同意义工们上门探访 - 把他视为家人，好好的用爱对待他 Please give him a home.",4
9dae4e297,Lovely puppy looking for a forever home. Commitment to spay is compulsory. If u are intetested to adopt pls contact Rachel,2
5925cf3fa,"A beautiful young Husky is looking for a loving home. He is friendly and have special love for children. Living Needs - Adopter ideally needs to have large compound for the dog to run around. - We recommend to keep him in an airy condition and preferably indoor with an area of his own. - He craves for companion and loves to spend time with human. - Regular exercise is required - Please feel free to research more on Husky and their living style. You may also consult vet for advice. Adoption requirement : a) We don't charge for adoption fee but we seek for kibbles to be donated to our food supply in feeding the strays. 3 bag of combo at RM each and you may donate more if wish to. b) Neutering and vaccination will be done before surrender to adopter. This fee shall be borne by adopter. c) Adopter must be an animal lover and preferably have experience in handling dog. d) No long hour of caging or tied on leash. e) Provide necessary medical attention f) We would like to visit your house and surroundings before confirming the adoption. You can view the dog before deciding. Trial adoption is available.** If you keen to find out more, please contact me. ** Subject to terms and condition Update : Thank all for your interest. We have received overwhelming response. Adoption request is closed and we are happy to find him a good home. His new parents loved him and we wish Gatsby all the best and lead a happy life forever. We have other dogs and will be ready for rehome soon. Please favourite us.",2
066498aa1,Hi everyone just got this message from a friend these 3 furkids need urgent home. They were adopted by their owner and was very well taken care but unfortunately she passed away of cancer. Her immediate family refuse to take these furkids in and wanted to put them to sleep. We are now trying our very best to get them adopted. If anyone wish to adopt them please contact me ASAP,3
568a5ab51,The puppy is white colours with brown spots. It has short fur. The puppy located at KL area. I hope the animal adopter can help to adopt this puppy.,4
a65853183,Naranja has been adopted by kind Ija and Ashraff. God bless all of them.,2
3da55a076,Urgent adoption needed! 1 1/2 months. 1st : Grey- good looking male 2nd : Black & white- Male 3rd : all white- face a pretty grey shape-female Totally think these 3 kittens( this base) are all looking good!.)I feed them (with d mom cat-) since they are born. P/S:**PRIORITY only given 1st to adopters who willing to adopt at least 2 miaos. 3 would be Purrrfect but I know very hard to find. I ll accept If only take 1 but must wait after I pick the 1st adopter(who can take 2).These sibling kittens are always stick to each others & play together so i really feel sad if separate all 3! Please contact me if you are interested! Ms Cathy Lee Text & watapps. They deserve a loving family!! Thanks. FYI I'm staying at Wangsa Maju & I already hav 1 adult cat.3 years.,1
48f20f515,Cute Browne is for adoption again cause the adopter have transfer to work at out station.Browne know how to behave herself and she is smart and playfully.If you are interested to adopt Browne Kindly contact Amy at.,2
fe3d33ae1,"Playful, active, cute and good boy",2
850a43f90,"This handsome yet cute boy is up for adoption. He is the most playful pal we've seen in our puppies. He loves to nibble on shoelaces , Chase you at such a young age. Imagine what a cute brat he will be when he grows. We are looking for a loving home for Hunter , one that will take care of him and give him the love that he needs. Please call urgently if you would like to adopt this cutie.",2
113204c87,"-Healthy -Adorable -Playful -Loyal I hope if anyone of you kind people, please take them both together, they were born together and be with each other since small. I was unable to take care them anymore due to family issue, i hope someone will take them good care for me.. Contact - alvin",4
a8f43bea5,"This doggie was found by my uncle said to be somewhere near Mont Kiara. Doesn't look like pure Shih Tzu. Very friendly, obedient and quiet. Limited information to provide.",2
13296aae7,"Please help me to find this puppy a home. She is a local breed puppy that we found in Taman Berkeley, Klang. She is less than 6 months old and currently being taken care of by my friend. We are taking care of her for almost 1 month plus now. This puppy is already dewormed and vaccinated. We really hope that someone will adopt her. She is a very smart, cute and adorable puppy! FYI, she is potty trained as well! Anyone who wishes to help and adopt her, please PM for more info. No adoption fee is required!Thanks a lot!! :)",4
c59fe4bcd,"mama dog gave birth to 4 puppies in bushes at construction area at puteri 10, bandar puteri puchong rescued on 20/4/14 sunday morning, the family have been sent to ministre of pets putra height and boarding there for the time being, puppies 3 boys and named tiger, bear bear, rusty, and 1 girl Rosie. All the puppies and mama dog hao hao are dewormed and received the 1st vaccination. Mama dog is friendly, has very good temperament, we carried her up into the car without leash, as a stray she is not aggressive at all, she will be spayed when she stop breast feed her puppies. All of them will be up for adoption as soon as puppies are able to have solid food and mama is spayed. interested adopter please call or whatsapp  for further details, thanks! Before you decided to take them as a new family member please go through the terms and conditions for adoption : 1) must agree on neutering when they reach 6th month old. 2) no adoption fees needed, however an amount of rm will be collected to keep aside for neutering fees in future. 3) provide sufficient space to run around, no caging and tying up in the house whole area and allow indoor. 4) allow home visit from foster/rescuer to visit until they are comfortable living with adopter in new environment, it should be arranged at least once a month. 5) able to provide basic medical treatments when they fall sick as well as complete the initial 3 vaccinations follow by yearly vaccination. 6) other members in the family must be informed and agree for this adoption.",2
abf1716a9,Cute and beautiful puppy looking for a home sweet home. Make a trip and visit her. She looks much nicer in real life. Commitment to spay is compulsory. If u are interested to adopt pls contact Rachel,3
9718baba0,"Pooch was found by my mother being kept under very poor conditions in enclosed cement barrel with unsuitable food and no water (only cow's milk which is bad for puppies). Pooch has a bad case of mange and was initially pooping a lot of watery discharge. He was also initially very frightened. He was treated with mange medication for over a month and is now a healthy, happy and very active puppy. To know more about his story, please visit my blog here: If interested to adopt and give this happy pup a good home, please contact my mother Jocelyn at. Thank you!",2
39ba962ef,Puppy about 4weeks+ female found at residence house area. healthy . the rescuer will pay the spay fees if u bring her to their clinic.,2
34edfc9d5,"Cheeky was rescued from the local pound in Penang, Malaysia. She has a very good temperament. Friendly & obedient. Looking for a good forever home for her.",4
6220663ba,"Mr Potato is extremely handsome, super friendly, nice, goofy, funny dog. He's a good guard dog (barks loud), but cannot defend the house (he will be friends with anyone!). He's a good friend too all other dogs out there. Even if you already have 6 dogs, he can make it seven for you without much fuss/ trouble. Other dogs usually accept him happily. He is very healthy, strong, very charming, a sweetheart to all. Please adopt him. For serious adopters only..",4
4501c8125,Fun loving happy and hyper active kitty who's always in the mood to play! Found him outside my office by himself taking shelter. I potty trained him :) Hoping to find someone who can give this cutie a good home. Ps: I'm not really sure the gender actually :p I'm just guessing he's a boy.,1
b138f5cc9,A good behaviour fully black female puppy.,3
dbfb1869f,puppy is rescued dog and looking for good home and family.She is very friendly dog and she is still very young and need love.,4
dbcf45977,he is very friendly and kind eat a lot and like to rest most of the time. litter trained and very domestic.,4
3b1391dda,"Sunny met in an accident that caused him minor limping. But he is still able to run freely and makes a good guard dog. Family oriented.Loyal. Knows basic commands such as SIT, STAY, NO, GO. His previous owner took care of wrongly, giving wrong food (chicken bones etc) resulting him diagnosed with gastrointestinal disease. However, i have treated him and found him a suitable kibbles (Blackwood). So his big business is back to normal. :)",4
006610fe3,Pony was injured when she was a pup.she was resting under a lorry and when the lorry moved it ran over her legs and now she walks with a limp.Pony is one of the more loving dogs in the construction site where she lives with her mother.She is such a joy to watch as she prances about waiting to be fed.,4
1020c8f00,"A mother dog delivered a litter of 6 pups outside a home. The family is currently caring for the mother dog and her babies. The puppies are now ready for rehome. Profile of each puppies are available here. If you are interested, please contact me. Puppies are located in Kajang. Adoption requirement : a) Adopter must be an animal lover and willing to spend time in preparing the puppy to settle n well. b) Absolutely no long hour of caging or tied on leash. c) Provide necessary medical attention. d) Allow visitation for us to follow-up on Luna when required.",2
dc1d76def,"We picked up Comot from a wet market. Comot is a white cat with gorgeous, bushy tail. Very affectionate & playful. Gets along with other cats & dogs & even rat! (see the attached pics!) Spaying & vaccination is a must & fee to be borne by adopters.",1
6134ae21d,"We live in KL and are looking for some advice to find a new loving home for our Dog, Wagyu a 3 year old Shiba Inu pure breed. My wife is giving birth to our first child in January and the reason we want to find a new home is that we do not want a dog around a small baby. Based on looks … for sure he is the number 1 in the world But overall he is more of a wild animal than a Lab / Beagle etc … and as a result we always need to treat him with respect / care. He needs a garden / space to run around in. We read a lot about the breed before we bought him. Everything that is on the internet about the breed (Shiba Inu) is % true. Their character, how they act, that they need to be on a leash … everything. We have had him fixed, so this calmed him down a lot. He is a healthy dog, been well looked after and in good health with a full passport / vaccinations etc. If you have anyone that would like to meet Wagyu, let us know and we can arrange any time. Above all else, we want to know that he has gone to a family that will love him as much as we have. It is a very hard decision to put Wagyu up for adoption. Thank you, Scott Photos of Wagyu",3
0f1424059,He is lovely and cute.,1
befafd8d3,"Found this orphan pup at Kg Attap Car Park, KL by his rescuer , Kay , please contact Kay if you are interested to give him a Home",4
482d05dc8,3 males 3 females. adoption fee to cover cost of vaccination (puppies will be vaccinated on the 19th November - so i will only give them away after 19th November),1
7b0d325d8,4 puppies for adoption. these puppies were given birth by a factory dog. will spay the mother after puppies are adopted. 3 female 1 male puppy they need a home ASAP as they are living in the empty land under the planks of wood. Adopter needs to be willing to spay puppy when older. Tq pls share,3
373f757c7,"i found this guy on my way back home. he was so fragile but noe he is looking good and handsome, eating, peeing and 'pooping' so well. t this is my first time fostering a very small kitten, bottle feeding him, i was so nervous, but he is not that hard to take care of, he sleeps whenever i put him in the box, he eats whenever i feed him, he did his business when i want him to! thank God u have make this easy for me... glad to see him like this. hope he will be healthy and a strong guy. who knows he would bring happiness to someone out there. when he is ready, he is up for an adoption..=) He is adopted by a very good friend of mine. such a relieved.=)",2
e1c40a1eb,Hi to all dog lovers. I have Two adult (one male and one female) dogs and Two puppies (two males) for ADOPTION (Absolutely free). Good guard-dogs if trained. Can also be considered to guard for Warehouse or Factory outlet. Please contact me for further details.,4
9f2dd031a,Bailey is a a two month sweet black girl. With a white patch on her chest Contact,4
1c1bb3cd4,"Lily is a good girl. She's very active. Unfortunately, she can't get along my another cat and they always fight witn each other. Instead of putting her in a small room to get rid of my cat, I'd prefer to give up Lily and find a sweet home for her. She's litter-trained.",4
9a719040f,"Tiny is a playful lil gal. She has no tail. Anyone who is willing to ♥ her, kindly contact with me. Shanthi",2
3af1dedf7,"I'm not sure of the breed, but this dog has been around my housing area for awhile. It looks pitiful yet adorable. It looks as if its a year old. I need someone to provide it medical care and a home as well, because I'm unable to do so. Dear kind soul, would you please help me by adopting this dog?",4
b7006ed96,"Their mother is mongrel with small-medium size and a little bit long fur, it's very tame, friendly and good character. 3 puppies are female, and 1 is male, all are very active. If interested to give them a sweet home, pls kindly call .",3
9ebf6e448,Kittens for adoption,1
21d8f0d2f,"Rescued from the street, spayed, and now in foster care awaiting adoption. Sunny was named after her personality. She may look like a common local dog but her inner beauty bursts through with enthusiasm the moment you say hello. She loves people and would make a great family dog and companion!",4
9e172ab13,"Mother cat gave birth in my garden and I have been taking care of them since then. Both kittens are absolutely affectionate (manja). They will rush about in the morning meowing to greet you and send you all the way to your car! The male has a cute bobtail and will follow you everywhere just to be stroked and cuddled. The female has a longer tail and likes to be scratched. Both love to cuddle at your feet. They are both well-trained with cat litter. They are healthy, playful and intelligent (will look at your face and eyes and not just your hands :) They are about the size of a woman's hand and should grow up to be quite good looking for they have a lovely and elegant mum who looks like an Abyssinian mix with lovely green almond eyes. Anyone who can give them a loving home please contact me asap.",1
261fc97ec,"Got my morning call woken up by this 2 kitties. One found in the drainage and the other is walking pointlessly at the back of my house. I supposed the mother cat decided not to take care of them or either some non-animal lover near house threw these poor little kittens here (since my backyard always have stray cats) I don’t know much about cats, but I've been taking care of them for almost a week since I found them . I don’t know what gender and how old (age) for each kittens . Furthermore , The 2 kitties are pure white in colour! No spots or anything , just pure white ! There’s always one who is fatter than the other one , and one smarter than the other one ! haha ! & I can’t keep it since I have a pet dog , I hope there will be a animal lover willing to adopt these 2 homeless kitties ! I will soon be putting them in a vet at Taipan USJ 10 which is : Klinik Veterinar Mayo Address: 11a Jalan USJ 10/1G, UEP Subang Jaya Phone: any more info , you can contact me or the vet ! I’m sure these 2 kittens will definitely steal your heart !",1
ef2ee6e9b,"I've been living on the streets of SS19 Subang Jaya for a while until I followed this lady home one evening. The lady shoo-ed me away at first, but I think my howling and whining changed her mind. According to the vet, I am a healthy, female, and I'm young too, between 1-2 yrs old. I've been vaccinated (horrible experience!) and dewormed. I love playing tug-of-war and I look forward to walks in the evening. I like to make friends too, with both the canine and feline communities. But the cats don't seem to like me, I've received countless slaps from them when I say hi. How strange. The lady says I'm cute and affectionate, and I'd do anything for a nice belly rub. Adopt me, pretty please?",4
a9bfec3ba,"Nottie & Choomi are both rescues. Nottie was a dorm kitty in Nottingham University. I adopted her when she was 5 mths old. She wandered into the campus and stayed with the students for a while, a learned kitty and a graduate I would like to say. So, she can be a bit of a snob sometimes. But she loves pats and scratches and paper balls. Her meow will melt even the hardest heart. She would be almost 3 years old. I call her my Zen kitty. Always calm, cool and collected. Choomi was rescued when she was a tiny 3 weeks old and sickly. Slept on my chest for weeks. But she's a survivor. She's now almost 2, healthy, active, loving, cheeky and chatty. I always talk to her and she'll answer back. They are both house cats, loves basking in the sun on the balcony or windows and much loved. Both are spayed, chipped and vaccinated. They have had their rabies and leukaemia shots as well. I have to put them up for adoption due to unforeseen circumstances and it's a decision which is causing me and my son great pain. I am looking for kind and compassionate cat lovers who is willing to welcome both my girls into their family and loving homes. Please. There must be kind souls out there.",4
3e463e29e,"CASPER IS GOING 5 MONTHS OLD, HES A LARGE PUPPY AND WEIGHS ABOUT 8.7KG NOW.MEDIUM LONG FUR AND VERY PLAYFUL BOY. HE CURRENTLY KNOWS THE BASIC SIT AND SHAKE HANDS COMMAND. HE WAS RESCUED WHEN WE SAW A BUNCH OF KIDS THROWING STONES AND CHASING HIM WITH 2 OTHER ADULT DOGS. HAD MILD RASHES EARLIER. WOULD LOVE TO FIND HIM A WONDERFUL AND LOVING HOME. PLEASE TAKE NOTE THAT HE IS PROBABLY LARGE IN SIZE WHEN FULLY GROWN. EATS ALOT, FRIENDLY AND LOVES TO PLAY EVEN WITH CATS. 1ST VACCINATION & DEWORMED DONE NEXT VACCINATION THIS WEEK. SOON TO BE NEUTERED INTERESTED, PLS CALL.",2
f5e35ea02,Jet is wonderful companion and lives to play and get cuddles. Come visit this adorable pooch at our adoption centre soon! We have over one hundred gorgeous rescued dogs available for adoption at our rehabilitation centre in Bandar Makhota Cheras. We are looking for loving homes that can offer: *a clean environment with no cages or chains *regular exercise and affection *adequate nutrition and healthcare All adoptions require a house-check before being finalised. www.klpoochresortandrescue.org,4
f4ab04385,My pet is toilet trained. I bought it in and she has been a very nice cat to me. I have to let her go since I have moved to an apartment that does not allow any pets in their premises.,1
49aaa4f94,"Mama cat + 4 babies for adoption. Ambil semua sekali. Tak boleh pisahkan. Mama cat ni dibuang di kawasan rumah. Dia beranak di dalam kereta yg dah rosak Note* Mama cat teramat-amat garang dengan kucing lain. Extremely garang! Lokasi: Seksyen 13, Shah Alam Contact: T&C Apply Terima kasih",4
898476994,I have many cats for Adoptions. You may collect from my place in klang,4
b19556858,"Litt' Vamp is a cute little bundle of fur with a feisty character. Loves playing with the big cats & loves his food - chicken, pumpkin, fish. A real sweetheart who loves to cuddle with you.",2
6d994c50c,It is not the owner Can give them a home?,2
6a3ff7445,These four kittens have just been spayed. They are not too young so they're not very difficult to take care of. There is one male and three females. The current fosterer couldn't take care of so many cats as she has cats and dogs herself. Please help by adopting and giving them a nice home. ^^,4
5e6de643b,"This puppy is a survivor from a mama dog diagnosed with TVT. The mama dog, a stray from the streets was found to be pregnant and at the same time suffering with TVT. Managing the TVT disease and at the same time safeguarding the lives of the babies prove to be one challenging task. Thanks to the expertise of the vet, the puppy stays tough and strong...surviving through the ordeal. Having to go through such big hurdle at this young age makes him deserves a better loving home more than anything else. If you can help give Dr. James a forever loving home, please contact. Location: Bukit Mertajam, Penang",2
cf020a716,"Memo is an energetic and fun dog. She loves to play but she is very protective as well. She gets along very well with children; the young and old! She is looking for a loving family to take her in. The adopter is encouraged to contribute towards the vaccination and neutering fee, to support the continued rescuing effort of other dogs and cats.",4
5c92de3f6,"Ronald is abandoned and found at Selayang. Diagnosed with tick fever but has completely recovered! He is energetic and happy friend to have at home. He makes a good companion and takes command such as ""sit"", ""stay"", ""hand"" and ""down"". A very loyal friend u will ever have as he likes to be around people. He makes a good guard dog as he is protective over his love ones.",3
5297d9ba8,"Hermione is named after Hermione Granger of Harry Potter books because she's got brown hair, gutsy and smart. She is a perfect healthy kitten that loves to play. She's got a loud purr and loves to run and investigate everything. Hermione is comfortable with young children because she is looked after by 2 young kids. She is now looking for a loving forever home. Basic facts: Estimated date of birth: 6 Jan De-wormed on 20 Feb Litter box expert user",2
89a41673f,Justin is a handsome and bouncy kitten. He already toilet-trained and still learning to eat kibble. Prefer to be adopted in pairs. (with   Jessy) Please take note: Rm is imposed as a safe deposit which will be returned to the owner once the owner spay Justin within 5 months. *COMMITMENT TO NEUTER JustiN IS A COMPULSORY! tqvm!,1
d965d6f3a,Princess is a small size puppy. Loves running around actively and loves cats! Puppy is at Puchong and only serious adopters are welcomed.,4
0db65104a,"Sweet and healthy puppy is looking for a happy family! His name is Beckham bcoz he is so cool :) !!! Totally in black color! Puppy already eats solid food, and likes to drink milk. Learning to play with ball. Currently puppy lives in expat family and waiting to be adopted by responsible pet lovers. Indoor only. Vaccinations is compulsory. No Cage Confinement. Please contact: Tel-;",2
25c48e7ff,"There are four newborn kittens need to be adopted. Interested adoption, kindly contact (Mr. Lim). 😊",4
